method,event_id,set_idx,target,camera_id,raw_samples,accepted_samples,accepted_ratio,signed_median_mm,abs_median_mm,signed_rmse_mm,abs_p95_mm,centroid_base_m
A3,24,4,board,2,1196,1196,1.0,-1.3332813351269461,2.0509750098157604,4.910605011587138,9.984010432584233,"[-0.2701253701118574, 0.4482141837747789, -0.015857413041535248]"
A3,24,4,cube,2,201,201,1.0,-9.693909651959084,9.72606726878197,9.869245680355512,13.346118839700635,"[-0.20638349264990385, 0.6146863103488038, 0.018492673035281914]"
A3,24,4,board,3,568,568,1.0,-11.961916446357861,11.961916446357861,11.954582410757105,14.178776332749601,"[-0.28525978550289827, 0.4898206574618044, -0.030011585651397353]"
A3,24,4,cube,3,320,320,1.0,12.200019641733494,12.200019641733494,10.733588123528126,13.871751859712845,"[-0.23378568577487382, 0.6470434422169231, 0.005334375253028393]"
A3,54,9,board,0,754,754,1.0,7.912283897419604,7.912283897419604,8.158865149596028,11.524319932951382,"[-0.2871321365211041, 0.46381835371383234, -0.026030647021447587]"
A3,54,9,cube,0,150,150,1.0,0.9896393072653878,7.171884554900066,7.39518844768722,12.103390934358051,"[-0.4123736157103289, 0.3592802463222665, 0.0016104405301163424]"
A3,54,9,board,1,467,467,1.0,-6.805512528795416,6.805512528795416,7.05283188815938,9.634303086428007,"[-0.28461616747585344, 0.41308316079553914, -0.024971584344276463]"
A3,54,9,cube,1,382,382,1.0,8.104197323097793,8.104197323097793,7.861125087775625,9.580781023816884,"[-0.43573335224205634, 0.3463371441195856, 0.0016435317854536222]"
A3,54,9,board,2,1193,1193,1.0,8.2881852773758,8.2881852773758,10.168517663782877,17.163511689026006,"[-0.27630099822095644, 0.45303515206380635, -0.008892764720181152]"
A3,54,9,cube,2,198,198,1.0,3.306889698986466,7.068437188695812,9.3349770974111,17.612699121265674,"[-0.3973831416275552, 0.35453329758995616, 0.023389122426608386]"
A3,54,9,board,3,606,606,1.0,11.615460157707357,11.615460157707357,11.620470311551097,13.920356607857043,"[-0.2810334203872195, 0.49381714888866984, -0.02961852175755064]"
A3,54,9,cube,3,295,295,1.0,-13.54248453885364,13.835653093451702,13.216185648838165,16.29623885574914,"[-0.4239366908532872, 0.3605340088180012, -0.0047200074827263]"
A3,72,12,board,0,678,678,1.0,-8.133127529519992,8.133127529519992,8.407731057521858,11.498146801235084,"[-0.28236922142002563, 0.4638645609526355, -0.02626375306493028]"
A3,72,12,cube,0,270,270,1.0,-3.476633518487056,3.900842203451194,4.280081294037159,6.649865433774613,"[-0.23127819295390298, 0.28161416168609443, 0.010564985608709368]"
A3,72,12,board,1,602,602,1.0,-6.66758002884511,6.66758002884511,6.768565460008743,9.837497093100223,"[-0.2842912449401516, 0.4307931576965311, -0.024552940384931537]"
A3,72,12,cube,1,397,397,1.0,-8.246434468021922,8.246434468021922,7.8039293860938646,9.793027637673099,"[-0.2501938071102089, 0.265284321499362, 0.006059360705666044]"
